Idx	Day of Expt	Sample_Type	QC	Batch 	Order	Sample_id	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100	M101	M102	M103	M104	M105	M106	M107	M108	M109	M110	M111	M112	M113	M114	M115	M116	M117	M118	M119	M120	M121	M122	M123	M124	M125	M126	M127	M128	M129
47	2014-12-10	Sample	0	2	47	sample_47	74.2	583.8	244.4	55.9	354.6	108.5	63.0	103.2	142.6	149.3	111.3	83.7	167.0	176.7	126.7	159.4	66.3	466.9	46.7	112.8	312.5	713.5	737.9	369.5	51.5	58.9	74.6	70.4		31.9	49.3	672.0	764.1	213.6	12.3	86.0	184.0	296.9	71.2	29.0	545.7	451.3	7.8	88.0	3285.8	1281.1	567.1	20893.1	663.3	332.4	740.8	219.3	938.1		317.5	289.7	1204.6	802.9	1346.4	1117.7	477.8	628.2	755.8	317.3	1368.4	3197.8	250.2	500.5	108.1	598.3	62.7	459.0	132.9	76.9	142.6	763.7	545.2	56.0		212.8	1138.7	0.1	673.9	248.4	29.3	147.7	49.1	235.0	1700.8	246.7	254.9	138.6	141.0	1314.6	104.4	9.7	12.1	138.5	44.9	699.1	57.0	455.3	718.5	529.4	134.4	47.7	474.9	97.1	101.5	67.1	85.2	496.8	825.3	287.6	141.9	39.0	1470.0	525.8	114.2	317.9		48.1	200.3	210.7	856.1	257.9	305.4	1200.8	294.6
48	2014-12-10	Sample	0	2	48	sample_48		241.2			67.0	27.8	204.3	41.5	79.7	48.1	68.3	49.2	78.9		21.5	94.0		363.9		61.4	105.4	43.6	198.1	172.4	40.9	13.3	63.5	8.2	223.5	53.2	52.1	62.6	69.2				76.3	221.4	72.8	6.4	21.7	49.4	6.7	2.2	62.6	115.4	182.0	4576.2	219.4	42.4	191.5	30.0	509.1	4.6	82.9	65.4		1555.1			192.9	77.8			357.0	624.4	37.0	331.2	143.3	16.8	18.3	304.3	89.7	4.6	88.1	190.6	592.3	49.9		342.5	90.4	86.4	311.6	119.6	42.1	47.8	16.0	110.5	1010.2	37.4	74.8	24.9	19.5	46.7	128.9	11.2	10.4	47.8	16.3		38.0	149.1	318.5	283.3	111.2	24.2	221.1	21.5	11.6	172.8	4.4	169.4		80.4	33.5	2.5	1236.7	625.4	24.6	84.5		18.8	4.8		13.1	9.2	106.4	340.2	35.6
49	2014-12-10	Sample	0	2	49	sample_49	21.4	20.8	13.2	7.5	22.3	25.5	13.2	40.0		135.0	29.0	69.6	10712.7	102.6	45.9		12.4	15.3	15.0	9.5			106.5	5.4	12.6	6.6			3720.9	1083.9	12.2	30.2	73.9	88.5	122.3	12.3	62.9	32.4	235.4	23.1	0.1	33.5	8.4	7.8	5492.3	190.3	105.2	4206.3	171.0	348.2	111.9	33.6	225.9	24.1		47.1	164.1	95.9	142.3	0.2	158.1	132.6	268.0	76.6	208.1	329.5	15.6	3.1	19.5	53.7	21.1		26.9	22.3	186.5	0.4	65.7	20.7	23.1	70.3	125.5		130.6	58.6	80.2	43.7	30.2	70.3	113.3	2.8	13.3	11.8	58.9	21.0	18.7	7.9	5.8	290.2	53.7	18.4	53.6	5.6		0.2	1806.8	44.6	274.5	13.3	8.9	10.5	32.9	41.4	971.1	117.6	6.2	14.6	11.6	17.4	37.6		2.9	7.7	64.1	13.1	320.4	1.9	34.5	3.3	87.2
50	2014-12-10	Sample	0	2	50	sample_50		362.5	115.2	1.6	110.2	8.3	62.9	65.0		43.0	66.8	46.3	92.4	67.3	53.8	103.9	49.2	129.1	84.9	67.8		28.2	337.4	81.1	12.3	22.1	15.5	15.7	58.8	20.5	32.6	338.2	250.4	106.7	145.5	28.7	82.9		19.2	65.9	19.5	57.6	4.4	55.6	3739.4	251.7	343.8	5938.8	429.6	135.7	343.8	222.5	369.8	10.5	97.3	93.4	577.9	485.9	439.0	364.7	835.3	330.3	826.1	162.2	295.8	1844.1	96.3	402.0	98.8	21.0	32.0	127.5	122.3	16.2	183.9	391.4	367.7	11.6	38.0	341.9	597.6	44.0	2936.5	17.2	32.9	47.5	13.4	95.9	737.6	40.8	69.1	24.3	64.8	243.2	81.5	8.8	11.9	5.1	14.7	115.8	15.9		256.4	232.6	54.3	31.6	391.1	32.7	36.5	36.0	149.1	212.9	349.4	59.7	81.4	14.8	578.2	359.5	98.4	95.2		20.8	43.9	9.0	100.2	41.5	88.0	587.3	179.6
51	2014-12-10	Sample	0	2	51	sample_51	487.5	1406.6	234.3	84.5	368.4	52.8	28.9	121.9	161.7	93.4		239.2	327.3	251.1	125.6	617.0		230.4	68.1	41.3	124.7	95.2	470.2	234.7	21.2	72.5		18.2	386.7	86.8		312.2	731.2	229.7	282.9	45.6	59.0	1632.5	41.2	64.2	746.0	217.0	20.3	104.7	5035.1	752.5	5.4	12229.8	582.0	17082.2	657.7	87.8	1905.2	47.5	192.7	26.1	3066.0	3350.8	964.8	23353.2	4920.9	573.4	2374.4	194.8	914.6	510.7	336.4	128.4	194.2	98.4	51.4	145.6	193.0	54.6	523.2	921.9	0.1	46.8	39.1	716.0	3062.9	52.2	1242.6	22.0	115.7	105.8	75.5	63.7	1229.6	213.8	93.2	6.6	16.3	1233.3	143.0	8.2	12.0	56.8	205.7	202.9	91.3	290.8	359.0	779.6	1094.6	144.2	487.8	130.6	682.7	130.4	71.6	522.3	1658.8	483.0	188.7	1.9	334.3	74.2	210.7	210.0	19.9	25.8	564.8	2862.2	168.3	68.8	164.1	298.7	311.9
52	2014-12-10	Sample	0	2	52	sample_52	1.1	142.0			31.3	5.7	9.4	19.5	1.1	24.6	38.4	14.9	85.3	11.7	19.4	20.0		15.3	8.2	10.6	12.3	0.6	185.1		7.7		1.4	1.4		6.3	9.9	25.6	85.8	3.2	576.8		15.8	13.1	8.6	25.5	0.5	36.5	8.6	0.4	1063.6	51.9		2967.2	59.0	18.7		71.3	272.9	0.4	12.2	10.2	148.5	228.8	199.0	169.8	79.2	24.0			133.5	40.8	14.0		5.0	19.9	7.6	6.7	15.3	6.1	37.5	165.0	195.9	6.0		129.7	174.1	1.8	101.8	23.6	14.1	18.5	7.0	49.2	75.2	21.0	13.9		21.2	94.1		6.8	4.6	13.0	1.6	0.2	24.6	23.4	2.6	78.2	17.5	16.3	76.8	6.8	74.8	15.8	27.2	62.3	73.4	23.8	70.1	5.0	42.1	53.4	10.3	11.0	5.3	3.3	26.9	96.7	19.8	8.7	85.1	35.7	31.3
53	2014-12-10	Sample	0	2	53	sample_53	21.8	73.6	70.0	11.2	25.5	8.4	144.2	9.3	15.2	38.4	20.4	11.1	42.8	22.5	21.1		10.1	122.7	26.2	27.2	25.0	35.7	92.1	12.8	14.5	8.3	0.4	3.9	12.7	5.5	2.7	73.7	155.8	74.4	52.4	36.8	5.2		9.3	17.4	17.2	30.4	9.6	8.0	827.6	37.1	123.5	2661.3	75.7	52.5	150.5	62.6	119.1	1.7	42.4	27.8	168.6	85.9	179.7	177.5	270.0	97.6	238.6	91.2	94.4	996.9	40.7	261.0	29.0		8.9	40.6	12.0	7.6	71.2	59.8	61.6	6.4	32.3	133.8	301.0	2.9	107.4	31.7	9.6	11.1	12.3	44.9	233.2	49.6	26.6		50.6	276.0		5.6	5.6	11.3	8.0	104.6	8.8	73.9	43.6	42.5	17.6	12.2	80.1	22.5	6.6			59.2		16.5	363.3	7.4	106.5	94.6	48.6	63.4		8.2	53.8	312.8	71.1		56.6	693.8	76.7
54	2014-12-10	Sample	0	2	54	sample_54	53.0	78.4	72.0	57.1	77.2	36.9	19.8	21.8	23.2	38.1	41.8	41.2	46.6	36.9	33.4	39.8	17.7	140.0	40.1	44.9	13.2	51.5	259.8	31.7	9.0	16.2	46.4	26.3	24.8	18.7	11.8	76.7	127.3	52.6		14.3	32.1	10.0	40.1	31.0	71.7	160.5	7.3	21.7	1209.9	132.2	104.0	5029.4	203.4	102.8	223.8	215.9	237.0	1.0	2.7	75.9	316.3	177.1	222.4	128.3	285.8	226.8	293.3	148.6	133.2	1333.8	113.0	58.2	47.3	95.9	18.5	79.3	28.7	7.4	93.1	400.5	215.8		191.8	154.2	36.0	0.6	96.1	61.0	21.8	34.9	19.1	107.9	246.7	121.7	30.3	9.1	45.6	343.3	21.3	2.9	10.6	48.3	9.1	119.3	10.1	100.9	97.1	146.0	28.4	57.8	155.1	10.3	17.8	17.3	21.1	84.9	173.8	47.7	227.8	40.1	304.4	98.1	31.7	78.2		16.3	269.6	286.2	109.9	8.5	85.2	475.8	135.0
55	2014-12-10	QC	1	2	55	sample_55	114.7	351.3	244.5	30.4	182.9	3.5	40.6	49.8	59.1	80.1	91.7	48.5	87.4	32.5	29.7	236.9		126.9	78.3	38.2	28.9	130.1	318.7	97.7	23.8	19.1		22.7	64.9	25.0	18.5	99.5	326.4	17.8	131.8	14.0	37.3	149.5	34.9	36.8	107.4	183.2	7.8	39.0	496.6	33.3	755.6	8129.4	259.0	106.7	441.4	147.3	593.4	3.9	2.5	72.4	453.9	329.9	466.2	277.2	958.3	231.3	330.1	395.1	260.8	3209.0	175.0	188.3	31.9	18.1	28.2	119.4	133.7	12.4	102.8		448.9	5.0	27.9	163.4	375.8		119.5	4.0	33.8	50.5	15.5	148.7	399.3	31.5	47.7	8.5	65.4	182.3		21.5	13.4	39.7	58.1	194.5	29.6	136.1	98.9	202.4	48.3	31.7	219.8	25.9	31.2	121.0	0.4	193.3	49.1	91.4	297.5	32.6	334.3	249.5	144.6	110.7	3.4	16.5	56.3	312.9	423.3	40.5	148.6	716.8	202.7
56	2014-12-10	Sample	0	2	56	sample_56		153.6	46.7		45.2	9.0	25.1	22.3	20.7	29.1	31.7	1.7	77.4	24.9	27.2	20.2	6.1	18.1	16.7	41.8	19.3		148.7	33.7	6.6	7.5	38.1		34.2	16.9	7.6	43.9	122.2			9.7	9.6	155.4	26.0	24.8		41.3	17.4	37.3	2666.9	73.6		2934.2	99.2	81.9	159.8	52.6	265.3	7.8	12.5	75.5		214.6	101.9	23.1	320.2	208.9	182.3	111.0	151.4	320.4		37.9	9.0	28.7	11.8	65.5	43.1	10.4	45.3		187.2			104.2	638.0	17.6	75.0		23.7	38.5	14.7	55.7	63.3	43.9	20.8	13.9	32.0	60.4		8.6		26.2	51.7	93.7	16.7	9.5	84.4	77.3	75.6	5.3	113.2	3.2	99.1		35.1	95.5	151.3	44.6	11.4	17.9	12.7	37.4	16.8	19.0		9.4	24.5	207.1	122.0	7.9	103.5	28.8	22.1
57	2014-12-10	Sample	0	2	57	sample_57	136.3	1765.5	235.5	50.5	425.8	97.6	78.9	111.8	123.5	78.5	133.9	120.5	362.8	44.8	28.4	120.2	120.5	643.0		214.4		169.9	926.3	177.5	51.0	24.8	5.9		60.5	48.7	101.5	646.1	678.0	452.5	11.5	241.5	231.0	1048.6	103.3	39.4	49.9	208.6	13.7	107.0	8568.7	1000.7	1379.2	18680.3	824.9	611.9	1186.3	319.8	996.9	73.9	179.2	267.9	628.4	485.4	946.6	740.0	2530.6	1072.5	2039.7	130.5	1597.7	1159.6	686.9	125.6	164.4	98.2	146.8	315.5	243.5	93.2	215.4	735.9	381.3		1624.6	798.2	1053.1	21.5	549.8	327.1	130.7	180.5	191.9	325.7	1243.1	290.2	236.6		202.2	1440.9		8.9	13.3	34.2	34.1	315.7	122.7	223.0	390.1	930.2	524.0	195.8	566.9	62.4	170.2	44.1	386.3	417.4	858.8	832.7	46.4	59.6	1613.1	358.4	164.4	269.6	11.8	40.8	9.5	1208.7	12.4	334.5	594.5	155.1	220.6
58	2014-12-10	Sample	0	2	58	sample_58	58.2	637.0	537.6	16.9	520.0	19.0	407.4	137.8	75.3	148.5	353.2	181.3	474.7	196.8	195.6	32.5	24.3	329.0	191.7	99.1		166.7	715.2	53.2	71.8	374.6	40.0	43.0	106.0	62.3	41.4	397.3	724.3	263.2	339.5	73.9	124.0	677.8	61.6	194.0	1.3	121.9	15.4	26.7	2234.8	269.2		8392.6	344.5	864.5	487.6	334.5	1074.9	40.5	67.3		759.3	1097.1	725.5	1361.5	1601.4	287.9	432.4	301.5	920.0	16544.5	161.2	179.1	117.4	30.8	54.5	112.6	154.2	35.9	261.0	795.0	558.4	35.1	7.3	1641.2	1440.5	5.5	714.4	813.0	67.0	63.8	27.8	258.5	855.0	217.5	142.7	37.3	169.5	1098.5		22.8	12.8	40.5	53.3	2264.7	40.4	98.4		660.0	1147.1	64.6	363.8	163.9	198.2	280.9	138.7	532.7	386.7	204.4	374.8	59.6	74.8	412.9	201.4	94.3		64.2	112.6		356.8	100.3	152.5	441.9	138.8
59	2014-12-10	Sample	0	2	59	sample_59	5.5	1089.2		15.2	229.3	27.9	19.2	66.5	56.6	63.1	164.7	37.8	122.8	33.3	33.2	98.5	108.1	218.5		36.6		0.3	201.7	148.2	8.8	12.7	47.1	13.5	108.8	62.5	30.3	57.0	400.8	52.0	493.7		67.7	128.4	19.9	25.0		105.4	8.3	12.7	3160.2	156.3	174.3	4228.0	250.4	158.1		106.8	733.7	1.8	131.6		647.2	373.7	168.0	54.7	578.1	265.8	586.5	218.8	364.1	743.7	57.7	19.4	75.2	3.9	84.6	286.1	112.3	15.1	118.5	531.9	473.6	17.6	105.1	194.6	347.9	80.3	186.4	7.9	36.7	52.6	58.1	132.2	1467.1	102.4	119.5	5.1	71.8	915.5	78.5	8.7		17.5		159.3	27.0	154.1	19.3	186.6	77.5	21.1	222.9	48.8	84.7	58.9	50.3	264.0		93.9	42.7	9.9	288.8	649.0	106.8	76.0	7.8	1.0	25.5	270.7	44.5	20.2	133.9	65.6	114.6
60	2014-12-10	Sample	0	2	60	sample_60	98.6	381.5	524.2	49.4	237.7	39.7	28.0	121.1	14.2	284.7	130.9	94.5	164.4	102.0	108.8	42.8	10.6	99.1	93.2	25.9	6.3	43.3	1020.2	6.1	25.2	70.1	10.8		133.3	26.8	30.6	373.1	299.9	325.0	108.3	45.0	55.6	306.3	39.9	72.7	102.2	252.6	19.2	107.6	11271.4	685.8	692.8	26887.7	539.9	274.4	706.2	307.8	999.5	2.3	304.2	306.7	790.5	494.0	778.9	336.6	811.4	631.8	1600.3	631.9	325.5	1440.9	220.5	377.8	21.5	197.8	67.0	0.3	38.2	31.9	229.9	328.4	232.7	35.9	44.7	516.3	277.5	4.1	673.9	184.0	63.0	136.8	41.8	365.3	417.7	278.7	40.5	46.1	141.9	143.3	60.1		28.6	69.7	26.2	574.2	39.8	114.1	21.6	705.1	0.1	83.6	788.7	80.7	60.6	21.6	62.7	207.5	172.3	273.6	277.1	24.6	204.3	4.6	65.0	12.7	19.1	22.6	252.1	1590.2	230.3	65.2	274.9	518.2	271.0
61	2014-12-10	Sample	0	2	61	sample_61	47.1	48.7	130.8	11.0	2.7	17.3	220.9	26.9	13.4		51.0	32.1	88.3	28.3	21.2	38.0	0.9	152.1	10.5	62.5	22.4	7.8	210.8		16.3	50.9	8.0	21.3	26.7	13.8	2.7	171.2	145.3	105.6	56.1	59.1	5.5	718.1	5.0	95.5		34.6	12.2	38.9	3434.4	154.0	139.8	6615.7	219.4	120.8	455.1	202.8	348.6	13.1	60.8	41.6	284.4	305.1	243.3	246.3	537.8	298.4	1028.3	167.7	211.3	1171.1	48.8	252.9	18.1	51.7	14.2	65.1	146.3	14.1	40.7	134.7	252.8	11.5	0.6	111.4	310.6	18.5	163.9	31.7	37.9	207.1	77.3	137.8	230.1	62.2	111.4	47.8	177.9	16.7	5.4	10.3	14.5	33.8	37.6	272.0	9.0		188.4	153.3	36.8	20.0	141.6	22.9	83.6	42.4	39.3	107.5	206.5	161.3	748.0	12.0	364.4	60.8	40.9	53.9	12.9	7.5	34.9	364.3	183.0	40.8	150.3	488.0	162.1
62	2014-12-10	Sample	0	2	62	sample_62		305.9	105.1	39.6	64.6	115.2	18.1	62.9	29.0	138.8	120.1	43.1	137.1	73.2	55.5	196.3		120.8	61.0	60.9	13.0	119.4	377.3	50.3	14.1	24.8	18.8	3.9	272.1	45.1	52.4	123.5	333.5	130.1	367.3	13.1	114.4	137.2	86.2	57.0	36.0	120.1	28.1	53.5	5154.4	79.8	449.1	8953.5	433.5	230.1	301.2	66.5	450.9		43.6	107.0	611.0	247.1	582.0	168.7	397.3	305.5	647.3		311.2	1135.7	54.5	225.0	65.3	65.2	46.6	110.0	68.0	14.6	239.9	299.0	232.4	12.2	63.2	172.5	463.6	10.7	148.4	125.0	56.8	70.9	23.8	148.2	776.0	80.6	73.7	24.5	70.0	273.8	67.9	9.8		135.6	102.4	21.5	34.0	28.3	461.7	386.7	205.6	24.8	325.1	59.9	49.3	82.7	27.8	199.7	252.2	119.0	104.6	9.8	176.9	97.2	122.2	55.0		15.6	61.7	386.2	214.3	39.2	217.6	496.8	149.9
63	2014-12-10	Sample	0	2	63	sample_63	83.7	873.8	44.0	71.4	452.3	153.1	45.7	161.0		176.4	262.2	143.8	511.9	112.8	113.2	59.1	57.4	270.2	76.1	21.9	39.8	43.3	460.4	119.8	22.7	24.7	68.9	38.6	1106.5	229.2	46.8	116.5	445.4	158.8	670.4		114.9	330.0	116.4	64.2	58.2	255.9	23.6	98.1	5159.9		114.8	18295.2	358.7	312.1	198.0	166.7	574.8	15.3	171.5	27.8	106.6	791.4	32.8	1113.2	392.3	141.6	344.2	303.6	642.9	214.8	523.3	120.8		172.5	163.2	135.2	48.3	87.5	232.9	506.8	434.8	84.4	15.2	571.5	455.8	22.8	497.4	130.1	54.7	107.4	52.6	200.6	531.8	36.3	73.0	5.0	41.9	243.4	48.3	10.9	15.7	195.4	12.0	110.5	128.9	359.1	128.8	654.6		65.5	462.3	103.7	295.6	11.9	20.9	233.5	42.2	314.2	124.7	30.0	127.3	382.7	44.8	93.6	13.0	66.1	219.5	1290.0	195.4	42.0	177.7	623.6	266.7
64	2014-12-10	QC	1	2	64	sample_64	111.9	373.2	270.0	34.2	167.2	19.0	40.9	48.3	52.0	91.5	82.7	67.3	84.3	31.5	28.7	140.9		107.5	107.5	72.1		52.2	339.3	141.9	21.8	21.2		6.7	63.2	31.6	19.1	90.0	294.3	44.1	12.2	13.4	39.8	149.0	33.7	25.3	66.1	202.1	10.3	104.9	566.5	180.7	515.1	7810.7	212.3	99.0	411.2	126.3	706.0	2.4	123.2	64.1	333.2	304.8	326.1	131.8	747.1	215.4	211.7	436.4	238.9	3166.6	161.1	118.2	27.0	3.4	28.6	102.2	131.9	15.1	79.7	399.6	424.8		20.7	478.6	436.8		89.7	100.2	40.5	32.6	30.7	143.2	365.1	37.6	44.4	18.2	64.9	227.4	63.2	18.5	21.8	20.3	39.4	89.3	30.0	42.1	167.7	228.3	47.2	35.4	212.9	19.3	29.1	162.3	5.1	134.3		104.9	298.4	37.4	342.3	208.7	147.4	85.8		14.4	257.4	314.0	137.4	38.0	135.6	719.6	185.3
65	2014-12-10	Sample	0	2	65	sample_65	6.0	116.9	32.2	15.7	107.2	8.5	116.1	21.0	42.9	83.7	40.2	20.5	41.1	23.8	24.0	95.9	3.0	63.9	6.9	4.9			74.3	3.3	9.2	8.8	103.9	21.0	8.4	23.5	3.8	73.6	214.4		61.0	14.0	4.6	33.2	13.9	45.2		75.0	5.3	20.5	1158.7	108.6	56.8	3026.7	111.1	47.6	177.5	77.6	289.7		105.8	32.3	211.5	193.2	211.2	79.5	183.9	0.3	269.0	136.6	225.2	356.4	44.7	40.1	27.6	2.5	10.2	7.2	42.0	0.1	66.4	269.1	208.0		21.9	118.7	538.1	10.8	177.2	46.6	10.3	16.9	13.3	65.4	130.6	12.7	23.5	11.8	26.9	68.3		9.6	5.5	14.7	29.3	81.6	10.4	17.8	108.2	77.5	18.4	28.0	104.0	24.1	14.2	66.9	3.6	65.5	88.6	62.0	210.1	5.7	59.9	67.6	17.3	16.1	5.5	9.2	21.5	328.2	63.7	2.5	44.5	17.5	78.6
66	2014-12-10	Sample	0	2	66	sample_66	104.9	399.7	195.1		365.0	42.1	26.1	117.8	241.1	122.5	38.3	42.7	121.4	84.7	36.1	166.4	30.6	82.9	90.1	163.6	127.3	76.5	603.9	242.6	11.9	23.7	127.3	117.2	273.1	91.2	14.3	154.0	292.8	260.1	542.5	105.1	17.8	521.4	136.1	119.5	77.9	129.6	9.9	129.6	555.2	308.5		7779.9	470.9	229.8	409.6	143.1	819.6	2.6	202.0	191.5	382.2	778.1	518.9	686.1	1046.8	594.5	356.5	238.9	1152.2	1236.3	338.9	174.9	127.3	54.7	29.3	212.5	122.2	9.3	149.7	754.7	682.4	24.5	37.7	1017.4	1255.1	61.5	361.8	45.9	25.9	67.0	23.2	320.5	529.7	222.9	98.1	32.5	107.7	825.9	112.9	11.1	15.4	57.0	141.7	297.1	16.9	112.8	712.0	472.2	24.1	39.2	377.4	60.4	240.1	66.9	14.7	312.0	0.9	222.8	344.2	61.7		690.0	55.4	171.8	9.7	31.6	27.5	669.4	222.7	34.8	100.9	211.9	229.4
67	2014-12-10	Sample	0	2	67	sample_67	14.4	1013.2	143.8	109.4	510.8	93.4	276.1	126.2	95.3	26.7	0.3	122.5	218.4	61.2	62.6	130.8	9.3	142.0	108.0	107.8		3.4	1428.4		49.6	52.8		28.1	87.2	46.5	39.5	118.1	414.1			68.6	57.6	31.4	160.1	36.3		76.9	34.2	124.9	3448.4	222.0	282.6	18778.9	684.2	239.2	220.0	321.3	471.4	18.7	207.2	151.1	237.9	883.1	361.0	675.8	1162.8		538.7	502.0	765.0	1480.7	489.4	112.0	101.5	171.2	65.5		173.3	40.1	125.9	891.1	464.6	23.4		577.4	916.1	17.8	618.0	85.2	95.8	159.5	50.2	422.8	454.9	154.8	112.1	76.1	144.8	353.7	34.3	31.5	82.0	84.6	172.7	272.2		49.2	107.6	608.9		87.8	625.3	43.9	164.8		13.8	426.5	42.5	535.7	1019.9	31.2	709.9	38.2	171.1	16.0	30.3	6.6	368.1	1346.2	586.6	74.3	499.0	80.2	317.4
68	2014-12-10	Sample	0	2	68	sample_68	26.6	36.5	54.5		47.4	2.1	243.6	17.8	16.3	15.7	23.8	13.8	29.7	37.0	21.5		10.0	150.4	13.3	15.8		22.6	171.6	57.2	11.2	5.7	25.7	27.6	55.8	10.0	2.3	115.4	65.7	9.2		17.2	8.7	161.6	17.9	25.3		58.6	6.5	22.0	1733.5	345.3	116.4	2317.0	83.5	55.1	127.6	107.3	175.1	1.9	24.7	27.2	74.5	108.3	68.8	114.6	192.3	101.0	358.1	139.1	80.5	441.4	103.4	205.4	20.9	10.9	10.9	78.0	11.9		119.7	84.0	20.3	4.3		58.4	220.1	8.5	94.5	28.1	7.9	26.0	7.2	62.4	336.1	28.7	42.1	9.1	45.8	268.1	12.5	6.6	5.7	26.6	55.9	125.0	9.9	127.8	58.5	73.8	19.5	25.3	87.4	27.2	20.8	11.1	38.2	37.0		20.8	93.4	5.1	215.1	100.0	11.0	50.0	1.1	13.7	60.6	153.3	38.5	32.3	62.8	144.1	59.4
69	2014-12-10	Sample	0	2	69	sample_69	69.4	93.8	91.1	19.9			22.2	55.8	128.8	0.6	2.5	35.2	81.3	117.2	69.2	159.3	35.7	115.3		27.2	12.4	59.0	232.0	120.4	12.6	15.1	64.0	13.4	100.0	15.9	13.4	460.6	179.5	284.2	27.2	12.3	54.0	418.8	19.1	57.6	119.0	96.5	8.8	85.9	1572.2	134.8	99.7	9250.2	296.2	101.8	474.2	88.4	385.1	0.3	386.8	18.0	331.2	419.8	209.3	2015.0	621.3	653.8	675.7	142.1	792.3	324.8	128.3	1100.8	148.4	66.9	43.3	152.5	102.5	36.5	241.5	260.1	227.7	21.9	0.6	381.8	1251.9	101.4	191.8	13.8	14.5	63.1	73.9		232.4	195.6	12.4		143.7	203.4		12.0	13.9	115.5	147.9	0.2	55.0	39.8	68.6	199.4	46.5	145.2	262.0	26.4	36.8	69.9	0.2	169.1	206.2	188.4	65.9	49.1	104.9	61.9	84.5	119.0	6.8	25.7	294.5	994.0	139.9	29.5	156.4	102.1	155.2
70	2014-12-10	Sample	0	2	70	sample_70	48.5	179.8	16.0	45.7	65.0	56.5	17.1	49.3	9.5	5.3	81.2	42.1	171.2	31.6	62.5	21.0		86.5	35.1	50.6		35.6	458.8	25.6	0.4		7.1	28.7	8.3	6.9	0.3	170.8	199.7	107.7	616.2	34.0	72.6	306.6	27.0	71.3	68.9	138.3	10.6	39.4	2284.3	56.5	46.0	10062.3	311.9	113.0	595.8	185.8	591.2	0.6	214.3	106.0	188.1	410.4	235.8	247.5	168.9	354.0	643.1	205.4	541.4	210.8	313.2	572.1	38.7	123.7	28.8	61.7	59.7	24.4	161.4	287.0	287.7	18.4	205.0	252.6	432.5	6.0	185.6	133.1	22.3	126.2	30.8	196.7	231.8	96.9	49.2	11.8	94.0	172.4	5.9	10.5	10.3	53.1	16.8	139.5	33.2	64.7	51.0	283.9	61.0	86.0	305.3		31.8	118.5	1.3	119.4	245.3	59.1	44.6	10.1	20.6	79.0	64.9	53.2		19.3	145.3	180.7	156.3	10.8	106.8	533.1	145.8
71	2014-12-12	Sample	0	3	71	sample_71	9.8	166.0	43.5		23.3		94.3	15.3		26.2	47.0	16.2	54.2	26.7	22.4		1.2	132.5	33.9	21.2	6.3	5.4	267.7	51.5	11.8	6.9		1.8	16.7	18.2	2.7	67.3	283.9	21.1	10.0	13.1	16.8	77.0	14.3	31.7	57.7	28.4	8.3	5.0	842.0	39.5	254.0	3108.0	49.1	84.1	102.6	154.1	375.4		51.7	51.8	288.2	205.5	152.3	77.6	300.1	3.2	139.2	463.2	176.9	263.9	87.7	96.6	21.9	5.5	12.9	57.4	85.5		29.5	212.3	234.5	5.4	11.0	96.3	295.9	30.7	772.0	28.5	33.2	4.7	16.0	40.8	306.4	18.7	52.3	18.2	26.3	130.4	164.0	7.8	10.4	23.1	3.0		7.9	20.5	114.1	88.0	25.9	10.3	90.2	19.3	69.5	10.1	31.0	103.8		43.3	124.2	10.5	60.3	192.5	55.0	19.3	5.5	9.8	45.9		47.2	24.5	109.6	120.7	67.3
72	2014-12-12	Sample	0	3	72	sample_72		573.8	36.5	0.6	138.5	23.8	28.0	54.6	74.9	222.3	56.9	46.2	289.5	79.7	53.5	89.5	116.3	655.9	0.4		150.4	85.1		320.6	16.1	34.6	108.9		621.8	188.7	122.9	72.2	301.4	144.9		2.7	84.1	211.6	27.1	22.8	416.2	143.2	14.9	86.3	127.1	68.4	28.9	7651.4	348.8	356.4	12.2	62.7	492.1		36.6	135.2	214.9	867.8			394.3	81.7	291.5	146.0	854.6	394.6	151.8	212.4		23.9	29.3	340.9	120.7	15.8	133.4	491.1		15.6		226.5	1084.6	1249.7	292.5	90.6	56.2	57.9	20.1	198.9	6317.1	52.5	157.9		37.1	934.4	48.1	3.9	6.2	553.3	53.2	19.7	29.2	285.9	1180.4	368.6	192.7	108.4	306.6	63.4	34.1	87.3	13.4	452.3	276.5	79.9	7.1	14.4	24.2	1238.7	96.1	139.3	13.8	12.6	121.6	568.5	175.0	8.5	59.3	142.1	224.1
